"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"16-Jun-2021","EQ","1,472.70","1,489.45","1,467.50","1,473.90","1,479.20","1,480.60","1,478.45","1,489.45","685.25",7661710,"11,327,444,062.60",162924
"15-Jun-2021","EQ","1,464.00","1,476.00","1,463.00","1,461.80","1,474.00","1,473.90","1,469.83","1,477.55","685.25",5403104,"7,941,636,318.20",141422
"14-Jun-2021","EQ","1,471.00","1,477.00","1,453.45","1,446.90","1,460.00","1,461.80","1,463.12","1,477.55","685.25",7132294,"10,435,431,661.00",147667
"11-Jun-2021","EQ","1,430.10","1,451.60","1,429.45","1,424.30","1,446.05","1,446.90","1,443.02","1,477.55","675.50",6140828,"8,861,316,923.80",173378
"10-Jun-2021","EQ","1,424.00","1,429.00","1,419.00","1,415.30","1,424.25","1,424.30","1,423.55","1,477.55","675.50",3496575,"4,977,561,087.00",121283
"09-Jun-2021","EQ","1,413.40","1,425.00","1,404.60","1,412.95","1,415.00","1,415.30","1,415.72","1,477.55","675.50",5394317,"7,636,846,520.45",137139
"08-Jun-2021","EQ","1,396.00","1,421.75","1,395.55","1,389.65","1,414.00","1,412.95","1,412.47","1,477.55","675.50",7360630,"10,396,698,470.40",188069
"07-Jun-2021","EQ","1,391.00","1,392.00","1,377.30","1,385.65","1,390.50","1,389.65","1,384.88","1,477.55","675.50",5154576,"7,138,486,995.40",127520
"04-Jun-2021","EQ","1,393.95","1,396.90","1,377.65","1,389.65","1,385.15","1,385.65","1,384.98","1,477.55","675.50",4194328,"5,809,075,426.80",109532
"03-Jun-2021","EQ","1,388.10","1,399.00","1,377.05","1,378.65","1,390.80","1,389.65","1,385.81","1,477.55","675.50",5115645,"7,089,319,506.30",137141
"02-Jun-2021","EQ","1,380.75","1,391.95","1,365.00","1,387.20","1,381.00","1,378.65","1,374.91","1,477.55","675.50",9272276,"12,748,517,787.25",186335
"01-Jun-2021","EQ","1,400.00","1,401.00","1,378.65","1,393.75","1,388.95","1,387.20","1,385.00","1,477.55","675.50",4791325,"6,635,964,926.65",180376
"31-May-2021","EQ","1,401.50","1,401.50","1,383.00","1,405.05","1,395.00","1,393.75","1,393.13","1,477.55","675.50",4429904,"6,171,426,112.80",145671
"28-May-2021","EQ","1,409.75","1,414.00","1,396.10","1,402.25","1,407.70","1,405.05","1,406.44","1,477.55","674.95",4261312,"5,993,259,437.60",106771
"27-May-2021","EQ","1,404.20","1,416.25","1,391.70","1,397.25","1,408.90","1,402.25","1,404.67","1,477.55","674.95",15365391,"21,583,297,998.60",250209
"26-May-2021","EQ","1,367.90","1,400.00","1,362.05","1,361.60","1,395.00","1,397.25","1,386.91","1,477.55","674.95",6850024,"9,500,378,457.65",174833
"25-May-2021","EQ","1,358.00","1,368.00","1,354.45","1,348.05","1,364.00","1,361.60","1,361.92","1,477.55","674.95",4099340,"5,582,984,590.85",129513
"24-May-2021","EQ","1,356.65","1,363.00","1,345.10","1,354.50","1,349.00","1,348.05","1,352.41","1,477.55","674.95",4225371,"5,714,441,955.70",108054
"21-May-2021","EQ","1,347.50","1,357.50","1,346.35","1,339.30","1,356.00","1,354.50","1,351.75","1,477.55","653.00",4969733,"6,717,856,342.70",153186
"20-May-2021","EQ","1,348.40","1,349.10","1,335.00","1,337.00","1,341.95","1,339.30","1,340.80","1,477.55","653.00",4490092,"6,020,330,291.35",111007
"19-May-2021","EQ","1,342.00","1,357.45","1,333.25","1,340.00","1,334.65","1,337.00","1,344.41","1,477.55","653.00",4435878,"5,963,617,809.65",135009
"18-May-2021","EQ","1,338.00","1,344.60","1,329.50","1,329.40","1,338.75","1,340.00","1,338.06","1,477.55","653.00",5620150,"7,520,081,253.15",135851
"17-May-2021","EQ","1,320.30","1,334.95","1,320.30","1,316.40","1,328.55","1,329.40","1,329.34","1,477.55","653.00",5017129,"6,669,458,544.35",118670